start_time,end_time,filename,probability,true_label,true_class,predicted_class
3,3.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.8139402,artifact,0,0
3.5,4.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.33045048,artifact,0,1
4,4.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.2910433,artifact,0,1
4.5,5.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.282447,artifact,0,1
5,5.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.4200607,artifact,0,1
6.5,7.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.85002583,artifact,0,0
7,7.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.39029542,artifact,0,1
7.5,8.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.3093505,artifact,0,1
8,8.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.88762516,artifact,0,0
19.5,20.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.43175796,nonartifact,1,1
20.5,21.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.28781772,artifact,0,1
21,21.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.37096003,artifact,0,1
21.5,22.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.33611757,artifact,0,1
22,22.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.7439905,artifact,0,0
42,42.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.42641184,artifact,0,1
42.5,43.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.3815617,artifact,0,1
44,44.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.8565579,artifact,0,0
66.5,67.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.64595467,artifact,0,0
67,67.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.38958922,artifact,0,1
67.5,68.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.31082055,artifact,0,1
68,68.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.34544408,artifact,0,1
68.5,69.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.55774593,artifact,0,0
85.5,86.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.40164837,artifact,0,1
86,86.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.3840306,artifact,0,1
86.5,87.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.41225982,artifact,0,1
159,159.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.39576116,nonartifact,1,1
160,160.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.39148566,artifact,0,1
160.5,161.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.3358042,artifact,0,1
161,161.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.3589737,artifact,0,1
161.5,162.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.88350207,artifact,0,0
164,164.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.41490614,artifact,0,1
164.5,165.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.35039264,artifact,0,1
165,165.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.36464173,artifact,0,1
165.5,166.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.37709084,artifact,0,1
166,166.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.41056776,artifact,0,1
2,2.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.38457823,nonartifact,1,1
2.5,3.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.35885963,artifact,0,1
3,3.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.36627272,artifact,0,1
3.5,4.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.3524935,artifact,0,1
4,4.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.35754153,artifact,0,1
4.5,5.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.24769889,artifact,0,1
5.5,6.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.27608335,nonartifact,1,1
24.5,25.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.08482771,nonartifact,1,1
25,25.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.27194896,artifact,0,1
25.5,26.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.26893505,artifact,0,1
26,26.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.50450486,artifact,0,0
37,37.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.4636951,artifact,0,1
37.5,38.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.3266707,artifact,0,1
38,38.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.2700005,nonartifact,1,1
38.5,39.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.21241793,artifact,0,1
39,39.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.22506334,artifact,0,1
39.5,40.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.2813371,artifact,0,1
40,40.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.11475453,nonartifact,1,1
42,42.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.17885244,nonartifact,1,1
42.5,43.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.24008404,artifact,0,1
43,43.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.39955613,artifact,0,1
43.5,44.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.42894164,artifact,0,1
44,44.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.24580751,artifact,0,1
44.5,45.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.2550147,artifact,0,1
45,45.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.24454954,artifact,0,1
45.5,46.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.14502393,nonartifact,1,1
89,89.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.23225366,nonartifact,1,1
89.5,90.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.13834016,artifact,0,1
90,90.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.18236358,artifact,0,1
90.5,91.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.30306828,artifact,0,1
