start_time,end_time,filename,probability,true_label,true_class,predicted_class
9.5,10.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.943373024463654,artifact,0,0
10,10.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.930195152759552,nonartifact,1,0
10.5,11.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.650289297103882,nonartifact,1,0
11,11.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.633181035518646,nonartifact,1,0
11.5,12.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.848004162311554,nonartifact,1,0
12,12.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.902409732341766,nonartifact,1,0
12.5,13.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.71986848115921,nonartifact,1,0
13,13.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.806911945343018,nonartifact,1,0
13.5,14.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.56913435459137,nonartifact,1,0
23.5,24.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.734213471412659,artifact,0,0
24,24.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.877313375473022,nonartifact,1,0
24.5,25.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.897769451141357,nonartifact,1,0
25,25.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.909875512123108,nonartifact,1,0
25.5,26.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.919799089431763,nonartifact,1,0
26.5,27.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.903074741363525,artifact,0,0
36.5,37.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.629565119743347,nonartifact,1,0
37,37.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.74083799123764,nonartifact,1,0
37.5,38.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.734244287014008,nonartifact,1,0
38,38.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.708241105079651,nonartifact,1,0
38.5,39.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.730566084384918,nonartifact,1,0
39,39.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.425241023302078,nonartifact,1,1
39.5,40.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.555841028690338,nonartifact,1,0
40,40.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.826721370220184,nonartifact,1,0
40.5,41.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.792829751968384,nonartifact,1,0
41,41.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.819702625274658,nonartifact,1,0
41.5,42.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.514414012432098,artifact,0,0
70.5,71.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.466814577579498,nonartifact,1,1
71,71.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.74273943901062,nonartifact,1,0
71.5,72.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.936334848403931,artifact,0,0
89.5,90.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.91020679473877,artifact,0,0
90,90.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.843803226947784,nonartifact,1,0
90.5,91.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.905825078487396,artifact,0,0
92.5,93.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.751595437526703,artifact,0,0
93,93.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.927001178264618,nonartifact,1,0
93.5,94.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.937615215778351,artifact,0,0
95.5,96.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.860755503177643,artifact,0,0
96,96.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.845765948295593,nonartifact,1,0
96.5,97.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.911607027053833,nonartifact,1,0
97,97.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.889945328235626,nonartifact,1,0
97.5,98.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.878851175308228,nonartifact,1,0
98,98.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.93642669916153,nonartifact,1,0
98.5,99.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.898019850254059,nonartifact,1,0
99,99.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.454593300819397,nonartifact,1,1
100,100.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.636378884315491,nonartifact,1,0
100.5,101.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.899919629096985,nonartifact,1,0
101,101.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.920794188976288,nonartifact,1,0
101.5,102.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.894151926040649,artifact,0,0
145,145.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.766168594360352,artifact,0,0
145.5,146.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.654589176177979,nonartifact,1,0
146,146.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.372338235378265,nonartifact,1,1
4.5,5.499512,BAMBI.S501.yyyymmdd.EORASD1,0.542931318283081,nonartifact,1,0
5,5.999512,BAMBI.S501.yyyymmdd.EORASD1,0.676760852336884,nonartifact,1,0
5.5,6.499512,BAMBI.S501.yyyymmdd.EORASD1,0.668625712394714,nonartifact,1,0
6.5,7.499512,BAMBI.S501.yyyymmdd.EORASD1,0.919086158275604,artifact,0,0
23.5,24.499512,BAMBI.S501.yyyymmdd.EORASD1,0.927472472190857,artifact,0,0
24,24.999512,BAMBI.S501.yyyymmdd.EORASD1,0.940014541149139,nonartifact,1,0
24.5,25.499512,BAMBI.S501.yyyymmdd.EORASD1,0.934618234634399,artifact,0,0
55,55.999512,BAMBI.S501.yyyymmdd.EORASD1,0.756870925426483,artifact,0,0
55.5,56.499512,BAMBI.S501.yyyymmdd.EORASD1,0.709420263767242,nonartifact,1,0
56,56.999512,BAMBI.S501.yyyymmdd.EORASD1,0.684592366218567,nonartifact,1,0
56.5,57.499512,BAMBI.S501.yyyymmdd.EORASD1,0.573442816734314,nonartifact,1,0
58.5,59.499512,BAMBI.S501.yyyymmdd.EORASD1,0.587089717388153,nonartifact,1,0
59,59.999512,BAMBI.S501.yyyymmdd.EORASD1,0.826554477214813,nonartifact,1,0
59.5,60.499512,BAMBI.S501.yyyymmdd.EORASD1,0.860581874847412,nonartifact,1,0
60,60.999512,BAMBI.S501.yyyymmdd.EORASD1,0.908895969390869,nonartifact,1,0
60.5,61.499512,BAMBI.S501.yyyymmdd.EORASD1,0.780702471733093,nonartifact,1,0
61,61.999512,BAMBI.S501.yyyymmdd.EORASD1,0.599441766738892,nonartifact,1,0
71.5,72.499512,BAMBI.S501.yyyymmdd.EORASD1,0.440864592790604,nonartifact,1,1
72,72.999512,BAMBI.S501.yyyymmdd.EORASD1,0.674513757228851,nonartifact,1,0
72.5,73.499512,BAMBI.S501.yyyymmdd.EORASD1,0.699951648712158,nonartifact,1,0
73,73.999512,BAMBI.S501.yyyymmdd.EORASD1,0.461165279150009,nonartifact,1,1
79.5,80.499512,BAMBI.S501.yyyymmdd.EORASD1,0.935225307941437,artifact,0,0
80,80.999512,BAMBI.S501.yyyymmdd.EORASD1,0.868886291980743,nonartifact,1,0
80.5,81.499512,BAMBI.S501.yyyymmdd.EORASD1,0.561429142951965,nonartifact,1,0
81.5,82.499512,BAMBI.S501.yyyymmdd.EORASD1,0.228060126304626,nonartifact,1,1
82,82.999512,BAMBI.S501.yyyymmdd.EORASD1,0.868268251419067,nonartifact,1,0
82.5,83.499512,BAMBI.S501.yyyymmdd.EORASD1,0.936546623706818,artifact,0,0
86.5,87.499512,BAMBI.S501.yyyymmdd.EORASD1,0.796241044998169,artifact,0,0
87,87.999512,BAMBI.S501.yyyymmdd.EORASD1,0.662531077861786,nonartifact,1,0
87.5,88.499512,BAMBI.S501.yyyymmdd.EORASD1,0.460881948471069,nonartifact,1,1
114,114.999512,BAMBI.S501.yyyymmdd.EORASD1,0.466522604227066,nonartifact,1,1
114.5,115.499512,BAMBI.S501.yyyymmdd.EORASD1,0.925732970237732,nonartifact,1,0
115,115.999512,BAMBI.S501.yyyymmdd.EORASD1,0.936224937438965,artifact,0,0
121,121.999512,BAMBI.S501.yyyymmdd.EORASD1,0.941162109375,artifact,0,0
121.5,122.499512,BAMBI.S501.yyyymmdd.EORASD1,0.774007320404053,nonartifact,1,0
122,122.999512,BAMBI.S501.yyyymmdd.EORASD1,0.36535707116127,nonartifact,1,1
142,142.999512,BAMBI.S501.yyyymmdd.EORASD1,0.433667600154877,artifact,0,1
143,143.999512,BAMBI.S501.yyyymmdd.EORASD1,0.750353395938873,nonartifact,1,0
143.5,144.499512,BAMBI.S501.yyyymmdd.EORASD1,0.266589850187302,nonartifact,1,1
151,151.999512,BAMBI.S501.yyyymmdd.EORASD1,0.608951091766357,nonartifact,1,0
151.5,152.499512,BAMBI.S501.yyyymmdd.EORASD1,0.708143711090088,nonartifact,1,0
152,152.999512,BAMBI.S501.yyyymmdd.EORASD1,0.834967851638794,artifact,0,0
172.5,173.499512,BAMBI.S501.yyyymmdd.EORASD1,0.917377591133118,artifact,0,0
173,173.999512,BAMBI.S501.yyyymmdd.EORASD1,0.704172551631927,nonartifact,1,0
173.5,174.499512,BAMBI.S501.yyyymmdd.EORASD1,0.757973551750183,nonartifact,1,0
174,174.999512,BAMBI.S501.yyyymmdd.EORASD1,0.650268197059631,artifact,0,0
1,1.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.935646533966064,artifact,0,0
1.5,2.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.913094460964203,nonartifact,1,0
2,2.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.384578227996826,nonartifact,1,1
15,15.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.35815903544426,nonartifact,1,1
15.5,16.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.816083192825317,nonartifact,1,0
16,16.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.875393986701965,nonartifact,1,0
16.5,17.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.853110194206238,nonartifact,1,0
17,17.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.639765441417694,nonartifact,1,0
17.5,18.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.560074210166931,nonartifact,1,0
18,18.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.701707780361176,nonartifact,1,0
18.5,19.499512,BAMBI.S502.yyyymmdd.ECRASD1,0.773270666599274,nonartifact,1,0
19,19.999512,BAMBI.S502.yyyymmdd.ECRASD1,0.4500632584095,nonartifact,1,1
128.5,129.499512,BAMBI.S502.yyyymmdd.EORASD1,0.47039720416069,nonartifact,1,1
129,129.999512,BAMBI.S502.yyyymmdd.EORASD1,0.81239515542984,nonartifact,1,0
129.5,130.499512,BAMBI.S502.yyyymmdd.EORASD1,0.744447290897369,nonartifact,1,0
130,130.999512,BAMBI.S502.yyyymmdd.EORASD1,0.475041657686234,nonartifact,1,1
145.5,146.499512,BAMBI.S502.yyyymmdd.EORASD1,0.530437350273132,nonartifact,1,0
146,146.999512,BAMBI.S502.yyyymmdd.EORASD1,0.769477903842926,nonartifact,1,0
146.5,147.499512,BAMBI.S502.yyyymmdd.EORASD1,0.757516980171204,nonartifact,1,0
147,147.999512,BAMBI.S502.yyyymmdd.EORASD1,0.472034901380539,nonartifact,1,1
147.5,148.499512,BAMBI.S502.yyyymmdd.EORASD1,0.669179618358612,nonartifact,1,0
148,148.999512,BAMBI.S502.yyyymmdd.EORASD1,0.614330768585205,nonartifact,1,0
151,151.999512,BAMBI.S502.yyyymmdd.EORASD1,0.330508351325989,nonartifact,1,1
151.5,152.499512,BAMBI.S502.yyyymmdd.EORASD1,0.651041328907013,nonartifact,1,0
152,152.999512,BAMBI.S502.yyyymmdd.EORASD1,0.796797454357147,nonartifact,1,0
152.5,153.499512,BAMBI.S502.yyyymmdd.EORASD1,0.134604260325432,nonartifact,1,1
161.5,162.499512,BAMBI.S502.yyyymmdd.EORASD1,0.627774059772491,nonartifact,1,0
162,162.999512,BAMBI.S502.yyyymmdd.EORASD1,0.708063840866089,nonartifact,1,0
162.5,163.499512,BAMBI.S502.yyyymmdd.EORASD1,0.587575852870941,nonartifact,1,0
7,7.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.876547634601593,artifact,0,0
7.5,8.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.800568401813507,nonartifact,1,0
8,8.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.532962441444397,nonartifact,1,0
18,18.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.837229371070862,artifact,0,0
19,19.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.919577956199646,nonartifact,1,0
19.5,20.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.870628654956818,nonartifact,1,0
20,20.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.63888156414032,nonartifact,1,0
65,65.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.609444737434387,nonartifact,1,0
65.5,66.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.650541424751282,nonartifact,1,0
66,66.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.443340092897415,nonartifact,1,1
76,76.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.795597851276398,artifact,0,0
76.5,77.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.737347841262817,nonartifact,1,0
77,77.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.908757746219635,nonartifact,1,0
77.5,78.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.899335741996765,nonartifact,1,0
78,78.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.855815947055817,artifact,0,0
82,82.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.798772513866425,artifact,0,0
82.5,83.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.807655572891235,nonartifact,1,0
83,83.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.744152069091797,nonartifact,1,0
83.5,84.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.214854925870895,nonartifact,1,1
88,88.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.578069031238556,nonartifact,1,0
88.5,89.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.691819071769714,nonartifact,1,0
89,89.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.233147516846657,nonartifact,1,1
96,96.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.212920129299164,nonartifact,1,1
96.5,97.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.832435727119446,nonartifact,1,0
97,97.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.809375941753387,nonartifact,1,0
97.5,98.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.471047550439835,nonartifact,1,1
102,102.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.454761117696762,nonartifact,1,1
102.5,103.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.750884890556335,nonartifact,1,0
103,103.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.824040770530701,nonartifact,1,0
103.5,104.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.814894676208496,nonartifact,1,0
104,104.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.493028253316879,nonartifact,1,1
110.5,111.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.343795299530029,nonartifact,1,1
111,111.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.753076434135437,nonartifact,1,0
111.5,112.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.761374890804291,nonartifact,1,0
112,112.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.369250416755676,nonartifact,1,1
115,115.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.582526206970215,nonartifact,1,0
115.5,116.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.673844695091248,nonartifact,1,0
116,116.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.585602402687073,nonartifact,1,0
116.5,117.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.766439199447632,nonartifact,1,0
117,117.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.545186042785645,nonartifact,1,0
127.5,128.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.875584661960602,artifact,0,0
128,128.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.690010845661163,nonartifact,1,0
128.5,129.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.295699775218964,nonartifact,1,1
133,133.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.356875211000443,nonartifact,1,1
133.5,134.499512,BAMBI.S503.yyyymmdd.ECRASD1,0.694555222988129,nonartifact,1,0
134,134.999512,BAMBI.S503.yyyymmdd.ECRASD1,0.589534819126129,nonartifact,1,0
75.5,76.499512,BAMBI.S503.yyyymmdd.EORASD1,0.361805289983749,nonartifact,1,1
76,76.999512,BAMBI.S503.yyyymmdd.EORASD1,0.65513026714325,nonartifact,1,0
76.5,77.499512,BAMBI.S503.yyyymmdd.EORASD1,0.877294361591339,nonartifact,1,0
77,77.999512,BAMBI.S503.yyyymmdd.EORASD1,0.887514531612396,nonartifact,1,0
77.5,78.499512,BAMBI.S503.yyyymmdd.EORASD1,0.594236552715302,nonartifact,1,0
124,124.999512,BAMBI.S503.yyyymmdd.EORASD1,0.544536709785461,nonartifact,1,0
124.5,125.499512,BAMBI.S503.yyyymmdd.EORASD1,0.7183837890625,nonartifact,1,0
125,125.999512,BAMBI.S503.yyyymmdd.EORASD1,0.2552090883255,nonartifact,1,1
158,158.999512,BAMBI.S503.yyyymmdd.EORASD1,0.352421998977661,artifact,0,1
158.5,159.499512,BAMBI.S503.yyyymmdd.EORASD1,0.661287546157837,nonartifact,1,0
159,159.999512,BAMBI.S503.yyyymmdd.EORASD1,0.758370816707611,nonartifact,1,0
159.5,160.499512,BAMBI.S503.yyyymmdd.EORASD1,0.350150406360626,nonartifact,1,1
22,22.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.833913624286652,artifact,0,0
22.5,23.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.777368605136871,nonartifact,1,0
23,23.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.233861148357391,nonartifact,1,1
66.5,67.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.546184301376343,artifact,0,0
67.5,68.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.916117370128632,nonartifact,1,0
68,68.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.909212946891785,nonartifact,1,0
68.5,69.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.925066232681274,nonartifact,1,0
69,69.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.920428454875946,nonartifact,1,0
69.5,70.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.887566745281219,nonartifact,1,0
70,70.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.905874013900757,nonartifact,1,0
70.5,71.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.885578870773315,nonartifact,1,0
71,71.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.901838064193726,nonartifact,1,0
71.5,72.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.735384464263916,nonartifact,1,0
72,72.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.417387157678604,nonartifact,1,1
78.5,79.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.536580681800842,nonartifact,1,0
79,79.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.746226072311401,nonartifact,1,0
79.5,80.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.741576910018921,nonartifact,1,0
80,80.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.677275419235229,nonartifact,1,0
80.5,81.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.904751479625702,nonartifact,1,0
81.5,82.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.892661869525909,artifact,0,0
104.5,105.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.373241394758224,nonartifact,1,1
105,105.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.764115989208221,nonartifact,1,0
105.5,106.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.829131364822388,nonartifact,1,0
106,106.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.555742800235748,nonartifact,1,0
119,119.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.427564829587936,nonartifact,1,1
119.5,120.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.746038198471069,nonartifact,1,0
120,120.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.902670502662659,nonartifact,1,0
120.5,121.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.892187118530273,nonartifact,1,0
121,121.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.887195765972137,artifact,0,0
123.5,124.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.654839515686035,artifact,0,0
124.5,125.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.727824866771698,nonartifact,1,0
125,125.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.701221406459808,nonartifact,1,0
125.5,126.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.863841891288757,nonartifact,1,0
126,126.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.650969922542572,nonartifact,1,0
126.5,127.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.89424055814743,artifact,0,0
145,145.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.330857366323471,nonartifact,1,1
145.5,146.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.693391084671021,nonartifact,1,0
146,146.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.491388380527496,nonartifact,1,1
146.5,147.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.557789206504822,nonartifact,1,0
147,147.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.680213630199432,nonartifact,1,0
147.5,148.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.454024195671082,nonartifact,1,1
177.5,178.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.507728219032288,nonartifact,1,0
178,178.999512,BAMBI.S504.yyyymmdd.ECRASD1,0.850415587425232,nonartifact,1,0
178.5,179.499512,BAMBI.S504.yyyymmdd.ECRASD1,0.646418929100037,nonartifact,1,0
14,14.999512,BAMBI.S504.yyyymmdd.EORASD1,0.532643377780914,nonartifact,1,0
14.5,15.499512,BAMBI.S504.yyyymmdd.EORASD1,0.705158352851868,nonartifact,1,0
15,15.999512,BAMBI.S504.yyyymmdd.EORASD1,0.698182106018066,nonartifact,1,0
