index,start,end,filename,probability,true_label,true_class,predicted_class
48,23.5,24.499512,BAMBI.S517.yyyymmdd.EORASD1,0.9264018,artifact,0,0
49,24.5,25.499512,BAMBI.S517.yyyymmdd.EORASD1,0.8091284,nonartifact,1,0
50,25.0,25.999512,BAMBI.S517.yyyymmdd.EORASD1,0.3380145,nonartifact,1,1
116,59.5,60.499512,BAMBI.S517.yyyymmdd.EORASD1,0.64303154,artifact,0,0
117,60.0,60.999512,BAMBI.S517.yyyymmdd.EORASD1,0.70272374,nonartifact,1,0
118,60.5,61.499512,BAMBI.S517.yyyymmdd.EORASD1,0.8660471,artifact,0,0
134,69.0,69.999512,BAMBI.S517.yyyymmdd.EORASD1,0.8388855,artifact,0,0
135,70.0,70.999512,BAMBI.S517.yyyymmdd.EORASD1,0.86721516,nonartifact,1,0
136,70.5,71.499512,BAMBI.S517.yyyymmdd.EORASD1,0.7159898,nonartifact,1,0
137,71.0,71.999512,BAMBI.S517.yyyymmdd.EORASD1,0.39227307,nonartifact,1,1
147,76.0,76.999512,BAMBI.S517.yyyymmdd.EORASD1,0.5040012,nonartifact,1,0
148,76.5,77.499512,BAMBI.S517.yyyymmdd.EORASD1,0.7000037,nonartifact,1,0
149,77.0,77.999512,BAMBI.S517.yyyymmdd.EORASD1,0.58615834,nonartifact,1,0
161,84.0,84.999512,BAMBI.S517.yyyymmdd.EORASD1,0.3334898,nonartifact,1,1
162,84.5,85.499512,BAMBI.S517.yyyymmdd.EORASD1,0.8035583,nonartifact,1,0
163,85.0,85.999512,BAMBI.S517.yyyymmdd.EORASD1,0.8365258,nonartifact,1,0
164,85.5,86.499512,BAMBI.S517.yyyymmdd.EORASD1,0.8856906,nonartifact,1,0
165,86.0,86.999512,BAMBI.S517.yyyymmdd.EORASD1,0.879161,nonartifact,1,0
166,86.5,87.499512,BAMBI.S517.yyyymmdd.EORASD1,0.45833063,nonartifact,1,1
167,87.0,87.999512,BAMBI.S517.yyyymmdd.EORASD1,0.57990783,nonartifact,1,0
168,87.5,88.499512,BAMBI.S517.yyyymmdd.EORASD1,0.82477456,nonartifact,1,0
169,88.0,88.999512,BAMBI.S517.yyyymmdd.EORASD1,0.6616806,artifact,0,0
182,94.5,95.499512,BAMBI.S517.yyyymmdd.EORASD1,0.6317469,nonartifact,1,0
183,95.0,95.999512,BAMBI.S517.yyyymmdd.EORASD1,0.85711515,nonartifact,1,0
184,95.5,96.499512,BAMBI.S517.yyyymmdd.EORASD1,0.76617765,nonartifact,1,0
185,96.0,96.999512,BAMBI.S517.yyyymmdd.EORASD1,0.8466106,nonartifact,1,0
186,96.5,97.499512,BAMBI.S517.yyyymmdd.EORASD1,0.6772207,nonartifact,1,0
187,97.0,97.999512,BAMBI.S517.yyyymmdd.EORASD1,0.8245034,nonartifact,1,0
188,97.5,98.499512,BAMBI.S517.yyyymmdd.EORASD1,0.8904534,nonartifact,1,0
189,98.0,98.999512,BAMBI.S517.yyyymmdd.EORASD1,0.73478884,nonartifact,1,0
190,98.5,99.499512,BAMBI.S517.yyyymmdd.EORASD1,0.70958644,nonartifact,1,0
191,99.0,99.999512,BAMBI.S517.yyyymmdd.EORASD1,0.7911415,nonartifact,1,0
192,99.5,100.499512,BAMBI.S517.yyyymmdd.EORASD1,0.66118276,nonartifact,1,0
193,100.0,100.999512,BAMBI.S517.yyyymmdd.EORASD1,0.22834691,nonartifact,1,1
199,103.0,103.999512,BAMBI.S517.yyyymmdd.EORASD1,0.3158747,nonartifact,1,1
200,103.5,104.499512,BAMBI.S517.yyyymmdd.EORASD1,0.67138076,nonartifact,1,0
201,104.0,104.999512,BAMBI.S517.yyyymmdd.EORASD1,0.64848083,nonartifact,1,0
202,104.5,105.499512,BAMBI.S517.yyyymmdd.EORASD1,0.3752525,nonartifact,1,1
203,105.0,105.999512,BAMBI.S517.yyyymmdd.EORASD1,0.65188307,nonartifact,1,0
204,106.0,106.999512,BAMBI.S517.yyyymmdd.EORASD1,0.78288513,artifact,0,0
291,152.0,152.999512,BAMBI.S517.yyyymmdd.EORASD1,0.8031264,artifact,0,0
292,153.0,153.999512,BAMBI.S517.yyyymmdd.EORASD1,0.9137369,nonartifact,1,0
293,153.5,154.499512,BAMBI.S517.yyyymmdd.EORASD1,0.8674384,nonartifact,1,0
294,154.0,154.999512,BAMBI.S517.yyyymmdd.EORASD1,0.3874046,nonartifact,1,1
298,156.0,156.999512,BAMBI.S517.yyyymmdd.EORASD1,0.5626954,nonartifact,1,0
299,156.5,157.499512,BAMBI.S517.yyyymmdd.EORASD1,0.6518435,nonartifact,1,0
300,157.0,157.999512,BAMBI.S517.yyyymmdd.EORASD1,0.47426438,nonartifact,1,1
313,164.0,164.999512,BAMBI.S517.yyyymmdd.EORASD1,0.46632585,nonartifact,1,1
314,164.5,165.499512,BAMBI.S517.yyyymmdd.EORASD1,0.69175506,nonartifact,1,0
315,165.0,165.999512,BAMBI.S517.yyyymmdd.EORASD1,0.6607538,nonartifact,1,0
316,165.5,166.499512,BAMBI.S517.yyyymmdd.EORASD1,0.5650407,nonartifact,1,0
336,175.5,176.499512,BAMBI.S517.yyyymmdd.EORASD1,0.80140346,artifact,0,0
337,176.5,177.499512,BAMBI.S517.yyyymmdd.EORASD1,0.7240414,nonartifact,1,0
338,177.5,178.499512,BAMBI.S517.yyyymmdd.EORASD1,0.868176,artifact,0,0
342,179.5,180.499512,BAMBI.S517.yyyymmdd.EORASD1,0.8401659,artifact,0,0
343,180.0,180.999512,BAMBI.S517.yyyymmdd.EORASD1,0.83989334,nonartifact,1,0
344,180.5,181.499512,BAMBI.S517.yyyymmdd.EORASD1,0.86718935,nonartifact,1,0
345,181.0,181.999512,BAMBI.S517.yyyymmdd.EORASD1,0.5569608,nonartifact,1,0
381,199.5,200.499512,BAMBI.S517.yyyymmdd.EORASD1,0.8747926,artifact,0,0
382,200.5,201.499512,BAMBI.S517.yyyymmdd.EORASD1,0.82607585,nonartifact,1,0
383,201.0,201.999512,BAMBI.S517.yyyymmdd.EORASD1,0.7399315,nonartifact,1,0
384,201.5,202.499512,BAMBI.S517.yyyymmdd.EORASD1,0.19552721,nonartifact,1,1
401,210.0,210.999512,BAMBI.S517.yyyymmdd.EORASD1,0.49278477,nonartifact,1,1
402,210.5,211.499512,BAMBI.S517.yyyymmdd.EORASD1,0.84517777,nonartifact,1,0
403,211.0,211.999512,BAMBI.S517.yyyymmdd.EORASD1,0.7415846,nonartifact,1,0
404,211.5,212.499512,BAMBI.S517.yyyymmdd.EORASD1,0.5849814,artifact,0,0
413,216.0,216.999512,BAMBI.S517.yyyymmdd.EORASD1,0.89783186,artifact,0,0
414,216.5,217.499512,BAMBI.S517.yyyymmdd.EORASD1,0.8367294,nonartifact,1,0
415,217.0,217.999512,BAMBI.S517.yyyymmdd.EORASD1,0.8280452,nonartifact,1,0
416,217.5,218.499512,BAMBI.S517.yyyymmdd.EORASD1,0.9176915,artifact,0,0
420,219.5,220.499512,BAMBI.S517.yyyymmdd.EORASD1,0.873207,artifact,0,0
421,220.0,220.999512,BAMBI.S517.yyyymmdd.EORASD1,0.85446715,nonartifact,1,0
422,220.5,221.499512,BAMBI.S517.yyyymmdd.EORASD1,0.5580577,nonartifact,1,0
426,222.5,223.499512,BAMBI.S517.yyyymmdd.EORASD1,0.31545448,nonartifact,1,1
427,223.0,223.999512,BAMBI.S517.yyyymmdd.EORASD1,0.7210589,nonartifact,1,0
428,223.5,224.499512,BAMBI.S517.yyyymmdd.EORASD1,0.77529913,nonartifact,1,0
429,224.0,224.999512,BAMBI.S517.yyyymmdd.EORASD1,0.8605064,nonartifact,1,0
430,224.5,225.499512,BAMBI.S517.yyyymmdd.EORASD1,0.36852515,nonartifact,1,1
440,229.5,230.499512,BAMBI.S517.yyyymmdd.EORASD1,0.90347946,artifact,0,0
441,230.0,230.999512,BAMBI.S517.yyyymmdd.EORASD1,0.88147426,nonartifact,1,0
442,230.5,231.499512,BAMBI.S517.yyyymmdd.EORASD1,0.8434518,nonartifact,1,0
443,231.0,231.999512,BAMBI.S517.yyyymmdd.EORASD1,0.63991946,nonartifact,1,0
444,231.5,232.499512,BAMBI.S517.yyyymmdd.EORASD1,0.84093714,nonartifact,1,0
445,232.5,233.499512,BAMBI.S517.yyyymmdd.EORASD1,0.8980308,artifact,0,0
456,238.0,238.999512,BAMBI.S517.yyyymmdd.EORASD1,0.87894416,artifact,0,0
457,238.5,239.499512,BAMBI.S517.yyyymmdd.EORASD1,0.91462344,nonartifact,1,0
458,239.0,239.999512,BAMBI.S517.yyyymmdd.EORASD1,0.78310865,nonartifact,1,0
459,239.5,240.499512,BAMBI.S517.yyyymmdd.EORASD1,0.5650708,nonartifact,1,0
460,240.0,240.999512,BAMBI.S517.yyyymmdd.EORASD1,0.737705,nonartifact,1,0
461,240.5,241.499512,BAMBI.S517.yyyymmdd.EORASD1,0.7243604,nonartifact,1,0
462,241.0,241.999512,BAMBI.S517.yyyymmdd.EORASD1,0.25981733,nonartifact,1,1
481,250.5,251.499512,BAMBI.S517.yyyymmdd.EORASD1,0.58916897,nonartifact,1,0
482,251.0,251.999512,BAMBI.S517.yyyymmdd.EORASD1,0.7445932,nonartifact,1,0
483,251.5,252.499512,BAMBI.S517.yyyymmdd.EORASD1,0.6238787,nonartifact,1,0
486,253.0,253.999512,BAMBI.S517.yyyymmdd.EORASD1,0.43768677,nonartifact,1,1
487,253.5,254.499512,BAMBI.S517.yyyymmdd.EORASD1,0.6799704,nonartifact,1,0
