id,revised_class,true_class,true_label,predicted_class
BAMBI.S501.yyyymmdd.ECRASD1_raw_artifact_9.5-10.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_10.0-10.999512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_10.5-11.499512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_11.0-11.999512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_11.5-12.499512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_artifact_23.5-24.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_24.0-24.999512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_24.5-25.499512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_25.0-25.999512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_artifact_26.5-27.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_artifact_41.5-42.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_70.5-71.499512,1,1,nonartifact,1
BAMBI.S501.yyyymmdd.ECRASD1_raw_artifact_71.5-72.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_artifact_89.5-90.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_artifact_90.5-91.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_artifact_92.5-93.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_93.0-93.999512,1,1,nonartifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_artifact_93.5-94.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_artifact_95.5-96.499512,0,0,artifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_96.0-96.999512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_96.5-97.499512,0,1,nonartifact,0
BAMBI.S501.yyyymmdd.ECRASD1_raw_nonartifact_97.0-97.999512,0,1,nonartifact,0
