start_time,end_time,filename,probability,true_label,true_class,predicted_class
3,3.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.813940227031708,artifact,0,0
3.5,4.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.330450475215912,artifact,0,1
4,4.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.291043311357498,artifact,0,1
4.5,5.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.282447010278702,artifact,0,1
5,5.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.420060694217682,artifact,0,1
6.5,7.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.850025832653046,artifact,0,0
7,7.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.390295416116714,artifact,0,1
7.5,8.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.309350490570068,artifact,0,1
8,8.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.887625157833099,artifact,0,0
19.5,20.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.43175795674324,nonartifact,1,1
20.5,21.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.287817716598511,artifact,0,1
21,21.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.370960026979446,artifact,0,1
21.5,22.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.336117565631866,artifact,0,1
22,22.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.743990480899811,artifact,0,0
42,42.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.426411837339401,artifact,0,1
42.5,43.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.381561696529388,artifact,0,1
44,44.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.856557905673981,artifact,0,0
66.5,67.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.645954668521881,artifact,0,0
67,67.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.389589220285416,artifact,0,1
67.5,68.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.310820549726486,artifact,0,1
68,68.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.345444083213806,artifact,0,1
68.5,69.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.557745933532715,artifact,0,0
85.5,86.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.401648372411728,artifact,0,1
86,86.999512,BAMBI.S501.yyyymmdd.ECRASD1,0.384030610322952,artifact,0,1
86.5,87.499512,BAMBI.S501.yyyymmdd.ECRASD1,0.412259817123413,artifact,0,1
